Name,Age,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position,Ability
V. Ibišević,33,77,77,5.5,31,1872,1,2,3,3,1,4,154
S. Rondón,28,77,77,9,41,1763,1,2,4,3,3,4,154
Victor Sánchez,30,77,77,6.5,26,2023,1,1,3,3,2,3,154
D. Suárez,30,77,77,6.5,22,2049,1,1,3,2,3,2,154
K. Huntelaar,34,77,77,4.7,20,1792,1,3,4,2,2,4,154
L. Dubois,23,77,84,10.5,44,1994,1,1,4,3,3,2,161
André Pinto,28,77,77,7,14,1500,1,1,2,2,2,2,154
K. Lala,26,77,78,8.5,19,2014,1,1,3,3,3,2,155
O. Kıvrak,30,77,77,5.5,24,1289,1,2,3,1,2,1,154
A. Bertolacci,27,77,77,9,75,2041,0,2,3,4,2,3,154
E. Giaccherini,33,77,77,5.5,20,2059,1,2,3,4,3,4,154
A. Živković,21,77,84,12.5,11,1988,0,1,3,4,2,4,161
R. Ábila,28,77,77,9,27,1822,1,1,4,3,2,4,154
P. Diop,32,77,77,5,22,2018,1,1,3,3,2,3,154
D. Garmash,28,77,77,9,1,1957,1,1,3,3,4,3,154
T. Chandler,28,77,77,7,33,1973,1,2,3,2,4,2,154
R. Klavan,32,77,77,5,30,1754,0,2,3,2,2,2,154
A. Miranchuk,22,77,82,12,1,1780,0,1,2,3,2,3,159
D. Da Silva,30,77,77,6.5,30,1651,1,2,4,2,2,2,154
D. Benaglio,34,77,77,3.6,44,1191,1,3,3,1,2,1,154
T. Rincón,30,77,77,8,42,2056,1,2,3,3,3,3,154
M. Pereira,34,77,77,2.5,13,2032,1,3,3,2,3,2,154
C. Borges,30,77,77,6.5,24,2055,1,2,4,3,3,3,154
J. Sand,37,77,77,3.2,3,1857,1,1,4,3,1,4,154
Markel Bergara,32,77,77,5,22,1950,1,1,3,3,2,3,154
Vágner Love,34,77,77,4.7,50,1901,1,3,5,4,2,4,154
B. Bourigeaud,24,77,81,11.5,28,2049,1,1,3,4,4,3,158
R. Soriano,27,77,77,9.5,31,2082,1,2,4,4,2,3,154
D. Kuzyaev,25,77,80,0,0,2041,1,1,3,3,3,3,157
R. Sambueza,34,77,77,4.5,26,2005,0,1,3,4,3,3,154
Montoya,27,77,78,8,43,2036,1,2,4,3,3,2,155
A. Poli,28,77,77,9,34,2040,1,2,3,4,2,3,154
C. Austin,28,77,77,9,53,1789,1,1,2,2,3,4,154
L. Tonelli,28,77,79,8.5,53,1646,1,2,3,2,2,2,156
M. Zárate,31,77,77,8,26,1980,1,2,3,4,1,4,154
J. Sancho,18,77,89,14.5,22,1785,1,1,3,5,2,3,166
D. Basta,33,77,77,3.4,41,2055,1,2,3,3,4,2,154
Marçal,29,77,77,6.5,54,2005,0,2,4,3,2,2,154
Munir,22,77,83,12.5,115,1883,0,2,2,4,3,4,160
G. Sio,29,77,77,0,0,1933,0,2,3,3,2,4,154
J. McCarthy,27,77,77,7.5,74,1978,1,2,4,3,3,3,154
J. Aquino,28,77,77,9,54,1899,1,1,4,4,3,3,154
H. Pérez,29,77,77,8.5,29,1928,1,1,4,4,3,3,154
Jô,31,77,77,8,11,1817,0,2,3,3,1,4,154
R. Gurtner,31,77,77,5.5,15,1112,1,1,2,1,2,1,154
C. Sánchez,32,77,77,5,65,1924,1,2,3,3,2,3,154
M. Sissoko,28,77,77,9,79,2138,1,2,2,3,2,3,154
W. Anton,21,77,84,11,22,1795,1,1,3,3,2,2,161
E. Skhiri,23,77,81,10,21,2029,1,1,3,3,3,3,158
Rúben Vezo,24,77,83,10.5,26,1837,1,1,2,2,2,2,160
Jorge Molina,36,77,77,3.2,20,1752,1,1,4,3,2,4,154
M. Hasebe,34,77,77,2.7,31,1963,1,2,3,3,2,2,154
A. Schürrle,27,77,77,9.5,47,2029,1,3,4,3,4,3,154
O. Ighalo,29,77,77,9,16,1880,1,1,3,4,2,4,154
L. Acosta,30,77,77,8.5,22,1927,1,1,3,4,3,4,154
V. Babacan,29,77,78,7,21,1230,1,2,2,1,2,1,155
R. Aguilar,25,77,81,9.5,23,1857,1,1,3,3,4,2,158
Yeray,23,77,83,10.5,19,1843,1,2,3,2,3,2,160
J. Defoe,35,77,77,4.1,49,1812,1,2,4,3,1,4,154
L. Schøne,32,77,77,6.5,19,2064,1,2,3,3,2,3,154
C. Ünder,20,77,87,14.5,46,1864,0,1,4,3,2,3,164
M. Dabbur,26,77,80,11,40,1887,1,2,4,4,1,4,157
Roberto,32,77,77,5,21,1284,1,2,2,1,2,1,154
Djaniny,27,77,78,10.5,42,1885,1,1,4,4,1,4,155
Wallace,23,77,82,10,35,1555,1,2,2,2,2,2,159
Pedro Obiang,26,77,80,9,65,1971,1,2,3,3,2,3,157
D. Heintz,24,77,79,9,20,1719,0,2,3,2,2,2,156
N. Mukiele,20,77,86,12,30,1906,1,1,3,3,4,2,163
T. Vermaelen,32,77,77,5,110,1926,0,3,3,2,3,2,154
I. Abate,31,77,77,6,68,1973,1,2,2,3,3,2,154
Diego Llorente,24,77,83,10.5,22,1763,1,1,3,2,2,2,160
C. Wood,26,77,78,10.5,56,1892,1,1,3,2,3,4,155
Formosandrinho,26,77,77,9.5,26,1763,1,1,3,3,2,4,154
E. Pulgar,24,77,82,10,26,1996,1,1,2,3,3,3,159
V. Vasin,29,77,77,7,1,1754,1,1,3,2,2,2,154
V. Grifo,25,77,79,11,33,1918,1,1,2,4,2,3,156
A. Turan,31,77,77,7.5,120,2094,1,3,4,4,4,3,154
J. dos Santos,28,77,77,9,10,2065,1,1,4,3,4,3,154
D. Schwaab,29,77,77,7,16,1826,1,2,4,2,2,2,154
M. Schmelzer,30,77,77,6.5,43,1957,0,2,2,2,4,2,154
L. Spinazzola,25,77,80,11,80,2040,1,2,4,3,4,3,157
A. Dragović,27,77,77,7.5,50,1869,1,2,4,2,2,2,154
D. Pröpper,26,77,78,10.5,47,2032,1,2,3,3,3,3,155
R. Inglese,26,77,78,10.5,60,1667,1,2,3,3,2,4,155
A. Marchesín,30,77,77,5.5,43,1306,1,1,3,1,2,1,154
R. De Paul,24,77,83,12,27,1908,1,1,3,4,2,4,160
C. Gentner,32,77,77,6.5,34,1979,1,2,4,2,4,3,154
G. Murray,34,77,77,4.7,51,1796,1,1,3,2,1,4,154
Rafael Carioca,29,77,77,8.5,54,2025,1,1,3,3,2,3,154
A. McCarthy,28,77,78,7,37,1230,1,1,2,1,2,1,155
L. Chichizola,28,77,78,7,19,1146,1,1,3,1,2,1,155
D. Zakaria,21,77,85,13,21,1980,1,1,3,3,2,3,162
G. Dzhikiya,24,77,83,10.5,1,1913,0,1,3,2,4,2,160
N. Castillo,25,77,82,12,14,1899,1,2,3,3,4,4,159
D. Origi,23,77,82,12,83,1829,1,2,3,4,3,4,159
O. Yokuşlu,24,77,83,10.5,19,2087,1,1,4,3,3,3,160
D. Cheryshev,27,77,77,9.5,31,2006,0,2,4,3,2,3,154
D. Selke,23,77,83,12.5,27,1819,1,1,3,3,2,4,160
Wendell,24,77,80,9.5,43,2009,0,2,2,4,3,2,157
M. Layún,30,77,77,6.5,28,2113,1,3,5,3,4,3,154
Y. Sabaly,25,77,80,9,35,1842,1,2,4,3,3,2,157
P. Cutrone,20,77,89,16,62,1759,1,1,3,3,3,4,166
F. Marchetti,35,77,77,2.1,9,1234,0,2,3,1,2,1,154
W. Cyprien,23,77,84,12.5,28,2155,1,2,3,4,3,3,161
G. Paletta,32,77,77,5,20,1554,1,3,3,2,2,2,154
F. Caicedo,29,77,77,9,51,1919,0,2,3,3,2,4,154
Jordi Masip,29,77,77,6,17,1317,1,1,3,1,2,1,154
B. Espinosa,28,77,77,7,29,1684,1,1,3,2,3,2,154
M. Benassi,23,77,82,11.5,45,2057,1,2,3,3,3,3,159
P. Jagielka,35,77,77,2.1,53,1835,1,2,3,2,3,2,154
J. Kucka,31,77,77,7.5,32,2143,1,2,3,3,3,3,154
R. Brady,26,77,78,10.5,52,2076,0,1,3,4,3,2,155
A. Szymanowski,29,77,77,8.5,31,1910,0,2,3,4,3,3,154
W. Reid,29,77,77,7,68,1693,1,2,3,2,2,2,154
Cédric,26,77,78,8.5,43,2074,1,2,4,3,3,2,155
R. Civelli,34,77,77,2.7,16,1728,1,2,3,2,2,2,154
R. Loftus-Cheek,22,77,85,13,76,1947,1,1,3,4,1,3,162
S. De Maio,31,77,77,6,30,1560,1,2,3,2,3,2,154
S. Brown,33,77,77,3.6,47,1933,1,2,3,3,3,3,154
A. Mitrović,23,77,82,12,52,1758,1,1,4,3,2,4,159
P. Skjelbred,31,77,77,6,26,1920,1,2,3,3,4,3,154
D. Cvitanich,34,77,77,4.7,19,1932,1,2,3,3,2,4,154
K. Lasagna,25,77,80,11.5,29,1824,0,2,3,3,3,4,157
R. Palacio,36,77,77,3.2,27,2001,1,2,3,4,4,4,154
M. Wolf,23,77,82,12,41,1987,1,2,4,3,3,3,159
E. Gigliotti,31,77,77,8,24,1842,1,1,3,3,3,4,154
N. Jørgensen,27,77,78,10.5,17,1896,1,2,3,3,3,4,155
Laguardia,28,77,78,8,24,1663,1,1,3,2,3,2,155
J. Lukaku,23,77,81,11.5,39,2042,0,2,4,4,3,3,158
J. Augustin,21,77,85,13.5,39,1791,1,1,3,4,2,4,162
M. Diakhaby,21,77,84,11,22,1624,1,1,3,2,2,2,161
Douglas,35,77,77,2.1,6,1211,1,1,2,1,2,1,154
N. Pejčinović,30,77,77,6.5,13,1736,1,2,3,2,3,2,154
D. van de Beek,21,77,83,12.5,14,2002,1,2,4,3,2,3,160
Borja Iglesias,25,77,82,12,29,1783,1,1,3,3,3,4,159
G. Shibasaki,26,77,80,11,24,2011,1,1,3,4,2,3,157
W. Hughes,23,77,84,12.5,45,1949,0,1,3,4,2,3,161
S. Boufal,24,77,80,11.5,41,1796,1,2,4,4,1,3,157
T. Kehrer,21,77,84,11,43,1806,0,1,5,3,3,2,161
M. Lang,27,77,78,8,26,2003,1,1,4,3,3,2,155
E. Gutiérrez,23,77,85,13,15,2007,0,1,2,4,3,3,162
D. Upamecano,19,77,88,13,18,1708,1,1,3,2,2,2,165
Jefferson,29,77,77,6.5,14,2141,0,2,2,2,3,2,154
W. Benítez,25,77,81,8,23,1208,1,1,2,1,2,1,158
E. Bardhi,22,77,83,12,22,2082,1,1,4,4,2,3,160
K. Mbodji,28,77,77,7,21,1810,1,2,3,3,2,2,154
B. Sarr,26,77,79,9,40,2040,1,1,3,3,3,2,156
F. Ferreyra,27,77,78,10.5,14,1811,1,1,3,3,1,4,155
Danilo,34,77,77,2.7,26,1592,1,2,3,2,1,2,154
A. Ayew,28,77,77,9,35,2074,0,3,3,4,3,3,154
K. Mitroglou,30,77,77,8.5,47,1740,0,3,3,3,1,4,154
J. Villar,41,77,77,0,0,1168,1,2,3,1,2,1,154
P. Herrmann,27,77,77,9.5,29,1888,1,2,2,3,2,3,154
D. da Costa,24,77,79,9,27,1962,1,1,3,3,3,3,156
V. Fischer,24,77,82,12,20,1931,1,2,4,4,3,3,159
Wesley,21,77,85,13.5,20,1831,1,1,3,3,4,4,162
D. Ginczek,27,77,78,10.5,46,1773,1,2,4,3,3,4,155
F. Kostić,25,77,78,10.5,16,1951,0,2,2,3,3,3,155
R. Fraser,24,77,81,11.5,52,1902,1,1,4,3,3,3,158
Cote,28,77,77,7,23,1949,0,1,3,3,3,2,154
H. Winks,22,77,85,13,66,1940,1,1,3,3,3,3,162
K. Mbabu,23,77,83,10,19,1956,1,1,3,3,3,2,160
M. Hinteregger,25,77,80,9.5,23,1971,0,2,3,2,3,2,157
L. Acosta,24,77,79,11,8,1909,1,1,3,5,2,3,156
Sidcley,25,77,80,9,1,2055,0,1,3,3,2,3,157
M. Jørgensen,28,77,79,8.5,45,1710,1,1,2,2,3,2,156
M. Fabián,28,77,77,9,36,1966,1,2,4,4,3,3,154
Carlos Eduardo,28,77,77,9,41,1999,1,2,4,4,3,3,154
Rubén Castro,37,77,77,3.2,11,1860,1,2,3,3,1,4,154
L. Augustinsson,24,77,82,10,22,2032,0,1,2,3,3,2,159
S. Aziz,27,77,79,8.5,48,1706,1,1,3,2,2,2,156
G. Ochoa,32,77,77,5,13,1204,1,3,3,1,2,1,154
P. Hetemaj,31,77,77,7.5,19,2136,1,2,4,3,4,3,154
André André,28,77,77,9,13,2078,1,2,4,3,4,3,154
Vinícius Júnior,17,77,92,17.5,66,1849,1,1,4,5,3,4,169
B. Džemaili,32,77,77,6.5,33,2087,1,2,4,4,3,3,154
Juanpe,27,77,78,8.5,27,1561,1,1,3,2,2,2,155
K. Fortounis,25,77,80,11,1,1971,1,2,4,3,2,3,157
M. Vorm,34,77,77,3.6,56,1279,1,2,3,1,2,1,154
B. Oczipka,29,77,77,6.5,30,2016,0,2,2,2,3,2,154
R. Bentancur,21,77,89,15.5,62,1916,1,1,3,4,2,3,166
T. Hernández,20,77,85,11,76,1954,0,1,3,3,2,2,162
M. Lowton,29,77,77,6.5,50,2051,1,1,3,2,4,2,154
I. Diop,21,77,86,12,46,1638,1,2,3,2,2,2,163
B. André,27,77,77,9,32,2063,1,2,3,3,3,3,154
C. Piccini,25,77,80,9,29,1838,1,1,2,3,3,2,157
Paulinho,25,77,79,11,16,1847,0,1,3,3,3,4,156
A. Diawara,20,77,87,14,41,1932,1,2,3,3,3,3,164
Yuri Berchiche,28,77,77,7,23,2044,0,2,3,3,3,2,154
José Sá,25,77,82,8.5,1,1193,1,1,2,1,2,1,159
F. Kamano,22,77,82,12,39,1859,1,1,4,4,2,4,159
F. Cartabia,25,77,80,11,12,1929,0,2,4,3,3,3,157
E. Ünal,21,77,83,12.5,26,1851,1,1,4,3,2,4,160
I. Radovanović,29,77,77,7,18,1937,1,2,3,3,2,3,154
Renan Ribeiro,28,77,78,7,11,1156,1,1,2,1,2,1,155
Jony,26,77,77,9.5,12,1960,0,1,3,4,3,3,154
D. Buonanotte,30,77,77,8.5,12,1854,0,2,4,4,1,3,154
Tomás Pina,30,77,77,8,25,1950,1,1,3,3,3,3,154
N. Pallois,30,77,77,6.5,25,1754,0,2,2,2,3,2,154
D. Latza,28,77,77,9,30,2017,1,1,4,3,4,3,154
F. Belluschi,34,77,77,4.5,22,2093,1,2,4,4,3,3,154
O. Abdulrahman,26,77,78,10.5,39,1862,0,2,3,5,2,3,155
O. Trejo,30,77,77,8.5,21,2073,1,1,4,4,2,3,154
N. Barella,21,77,89,15.5,24,2031,1,2,3,3,2,3,166
Angeliño,21,77,83,10.5,11,2131,0,1,3,4,3,2,160
Vieirundinho,30,77,77,6.5,18,1650,1,1,2,2,2,2,154
F. Orellana,32,77,77,7,24,1904,1,2,4,4,3,3,154
F. Grillitsch,22,77,82,11.5,30,1855,1,2,3,3,2,3,159
C. Ortíz,29,77,77,7,43,1930,0,2,3,3,3,3,154
Bruno Viana,23,77,83,10.5,12,1716,1,1,3,2,3,2,160
J. Maidana,32,77,77,5,22,1715,1,1,3,2,2,2,154
R. Funes Mori,27,77,78,8.5,28,1846,0,2,3,2,2,2,155
D. Kohr,24,77,81,10,43,1910,1,2,3,3,2,3,158
F. Higuaín,33,77,77,5.5,10,1965,1,1,4,3,2,3,154
A. Barák,23,77,84,12.5,24,1965,0,1,3,4,3,3,161
F. Andone,25,77,81,11.5,49,1972,1,2,3,3,4,4,158
Adrián,30,77,77,8.5,16,1827,1,2,3,3,2,4,154
G. González,30,77,77,6.5,30,1711,1,1,3,2,2,2,154
Otávio,24,77,82,10,32,1902,1,2,3,3,3,3,159
D. Janmaat,28,77,77,7,50,2037,1,2,3,3,3,2,154
R. Funes Mori,27,77,78,10.5,49,1992,1,2,4,4,3,4,155
P. Schick,22,77,86,14,53,1868,0,2,2,4,3,4,163
Aleix Vidal,28,77,77,7,17,2049,1,2,4,4,3,2,154
A. Schöpf,24,77,82,12,27,1974,1,1,4,3,4,3,159
W. Boly,27,77,80,9,58,1660,1,1,4,2,2,2,157
Alberto Moreno,25,77,79,9,76,2029,0,2,3,3,2,2,156
C. Villanueva,32,77,77,7,39,1910,0,1,3,5,1,3,154
M. Weiser,24,77,82,10,43,2067,1,2,4,4,3,2,159
G. Escalante,25,77,82,10,21,1998,1,1,3,3,3,3,159
M. Holgate,21,76,82,9,50,1782,1,1,3,3,2,2,158
J. Hopf,31,76,76,4.7,17,1209,1,1,3,1,2,1,152
D. Zurutuza,31,76,76,6.5,26,1964,1,1,5,4,2,3,152
Juanmi,25,76,79,9.5,27,1834,1,1,3,3,2,3,155
K. Gibbs,28,76,76,6,32,1984,0,2,2,3,3,2,152
F. Fernández,29,76,76,6,42,1576,1,2,2,2,3,2,152
L. Kalinić,28,76,78,6.5,17,1076,0,1,2,1,2,1,154
N. Radoja,25,76,81,10,22,1792,1,1,3,3,3,3,157
N. Blandi,28,76,76,8,23,1834,1,1,3,3,2,4,152
David Juncà,24,76,81,8.5,18,1926,0,1,3,3,3,2,157
Wu Lei,26,76,77,9,19,1932,1,1,4,3,2,4,153
Gabriel Boschilia,22,76,82,10.5,48,1893,0,1,3,3,2,4,158
Iuri Medeiros,23,76,79,10,12,1911,0,2,3,4,3,3,155
M. Phillips,27,76,76,8,34,1890,1,1,4,4,2,3,152
Iván Cuéllar,34,76,76,3.1,21,1243,0,1,2,1,2,1,152
J. Lössl,29,76,76,5,34,1095,1,1,2,1,2,1,152
Mario Suárez,31,76,76,6.5,16,1914,1,2,4,3,3,3,152
W. Bony,29,76,76,7.5,32,1767,1,2,4,3,1,4,152
S. Doumbia,30,76,76,7.5,31,1898,1,3,4,3,1,4,152
D. Reyes,25,76,80,8.5,48,1774,1,3,3,2,2,2,156
Bernat,25,76,77,7.5,54,2033,0,2,3,4,3,2,153
V. Behrami,33,76,76,3.1,24,2042,1,2,3,3,3,3,152
S. Langkamp,30,76,76,5.5,24,1488,1,2,3,2,2,2,152
J. Sosa,33,76,76,4.5,30,2048,1,2,4,4,2,3,152
A. Touré,24,76,79,8,20,1719,1,1,3,3,2,3,155
Jesé,25,76,79,9.5,59,1798,1,2,4,4,2,3,155
D. Ings,25,76,78,9.5,85,1835,1,1,3,3,4,4,154
M. Esser,30,76,76,4.9,24,1193,1,1,3,1,2,1,152
F. Acheampong,24,76,81,10.5,16,2035,0,1,3,4,3,4,157
R. Knoche,26,76,79,8,36,1600,1,2,4,2,2,2,155
O. Vlachodimos,24,76,83,8,7,1180,1,1,3,1,2,1,159
J. Denayer,23,76,83,9.5,41,1759,1,1,3,2,3,2,159
S. Rode,27,76,77,7.5,40,1977,1,2,3,3,4,3,153
Wendel,20,76,86,12.5,10,2058,1,1,3,3,3,3,162
A. Nagy,23,76,83,9.5,24,1981,1,1,5,3,3,3,159
Alfa Semedo,20,76,85,10.5,8,1920,1,1,4,3,3,3,161
A. Barnes,28,76,76,8,55,1946,1,1,4,3,4,4,152
Alan Kardec,29,76,76,7.5,13,1830,1,1,3,3,1,4,152
Marcelo,28,76,76,6,13,1594,1,1,2,2,3,2,152
E. Boateng,22,76,82,10.5,22,1908,1,1,4,3,4,4,158
Dalbert,24,76,80,8.5,41,1971,0,1,3,3,3,2,156
A. Halilović,22,76,83,11,61,1866,0,1,3,4,2,3,159
I. Popov,30,76,76,7.5,1,1973,1,2,4,4,2,4,152
T. Cleverley,28,76,76,7.5,51,1967,1,2,3,3,3,3,152
M. Livaja,24,76,80,10,1,1808,1,1,5,3,3,3,156
M. Uribe,27,76,77,8.5,54,2058,1,1,4,3,4,3,153
P. Bargfrede,29,76,76,6,25,1940,1,2,3,3,2,3,152
J. Jankto,22,76,85,11.5,23,2028,0,2,3,4,4,3,161
Junior Firpo,21,76,81,8.5,15,1927,0,1,3,3,2,3,157
D. D'Ambrosio,29,76,76,6,50,1980,1,2,3,3,2,2,152
D. Boyko,30,76,76,4.9,1,1215,1,2,3,1,2,1,152
M. Díaz,31,76,76,5,19,2048,1,2,3,3,3,3,152
S. Vokes,28,76,76,8,55,1864,1,1,3,2,3,4,152
Héldon,29,76,76,7.5,23,1845,1,1,3,4,2,3,152
Mario Hermoso,23,76,84,10,21,1896,0,1,4,2,2,2,160
F. Bartels,31,76,76,7,27,1883,1,2,3,4,3,3,152
K. Malcuit,26,76,77,7.5,47,2009,1,2,3,3,3,2,153
R. Marin,22,76,82,10.5,15,2025,1,1,4,4,3,3,158
Ayoze Pérez,24,76,81,10.5,42,1911,1,1,4,4,4,4,157
Júnior Moraes,31,76,76,7,1,1698,1,1,4,3,3,4,152
V. Berisha,25,76,79,9.5,40,2045,1,2,4,4,3,3,155
R. Freuler,26,76,77,9,26,1977,1,2,3,3,2,3,153
Ganso,28,76,76,8,17,1802,0,3,3,4,1,3,152
Vicente Gómez,29,76,76,7.5,12,1836,0,1,2,3,2,3,152
M. Pašalić,23,76,83,10.5,71,2018,1,1,4,4,4,3,159
Vitor Hugo,27,76,78,7.5,45,1547,0,1,2,2,3,2,154
B. Fornaroli,30,76,76,7.5,15,1939,1,1,4,4,3,4,152
R. Snodgrass,30,76,76,7.5,66,1977,0,2,3,4,3,3,152
Francisco Geraldes,23,76,83,11,12,1864,1,1,4,4,2,3,159
I. Ordets,25,76,81,8.5,1,1714,1,1,3,2,2,2,157
D. Santon,27,76,76,6.5,47,1977,1,2,3,3,2,2,152
M. Niang,23,76,81,10.5,37,1836,1,2,4,3,1,4,157
O. Wendt,32,76,76,4.3,24,2029,0,2,3,3,2,2,152
C. Riveros,35,76,76,0,0,2012,1,1,3,3,2,3,152
F. Benković,20,76,85,10.5,37,1572,1,1,3,2,2,2,161
M. Torres,33,76,76,4.7,4,1868,1,1,4,3,2,3,152
M. Noble,31,76,76,6.5,66,2009,1,2,3,3,4,3,152
M. Rashica,22,76,83,11,25,1866,1,1,4,3,3,4,159
C. Benteke,27,76,76,8,53,1762,1,3,3,2,1,4,152
Rômulo,31,76,76,6.5,17,2070,1,1,2,4,2,3,152
D. Pabón,30,76,76,7.5,46,2040,1,2,4,3,4,4,152
Embarba,26,76,77,9,20,1907,1,1,3,3,2,3,153
C. Kerbrat,31,76,76,5,21,1789,1,1,3,2,2,2,152
L. Teodorczyk,27,76,77,9,28,1791,1,2,2,3,3,4,153
Alexo Baia,30,76,76,5.5,25,1920,1,1,3,3,3,2,152
David Seijalbo,34,76,76,2.3,25,1889,0,1,2,2,3,3,152
N. Nández,22,76,85,11.5,20,2015,1,1,3,4,4,3,161
L. Rupp,27,76,76,8,32,1986,1,1,3,3,4,3,152
Jordi Amat,26,76,80,8.5,18,1704,1,2,3,2,2,2,156
W. Caballero,36,76,76,1,39,1211,1,2,3,1,2,1,152
F. Di Francesco,24,76,79,10,44,1878,1,1,4,4,2,4,155
O. El Kaddouri,27,76,76,8,1,1996,1,1,4,3,3,3,152
T. Rogić,25,76,79,9.5,46,1885,0,1,4,4,2,3,155
G. Töre,26,76,77,9,43,1944,0,2,4,3,2,3,153
M. Destro,27,76,76,8,33,1779,1,2,3,4,1,4,152
Josué,27,76,76,8,19,2017,0,1,2,4,2,3,152
A. Bizzarri,40,76,76,525,2,1198,1,2,3,1,2,1,152
Ki Sung Yueng,29,76,76,7.5,46,2010,1,2,4,4,3,3,152
H. Onyekuru,21,76,86,12.5,56,1855,1,2,4,4,4,4,162
N. Pépé,23,76,84,11.5,26,1818,0,1,3,4,3,3,160
Matheus Pereira,22,76,83,11,12,1938,0,1,3,4,2,3,159
Y. Salibur,27,76,76,8,23,1941,0,2,4,4,3,3,152
E. Vargas,28,76,76,8,55,1955,1,2,4,4,1,3,152
L. Magallán,24,76,83,9.5,18,1695,1,1,3,2,2,2,159
Danny,34,76,76,3.9,12,1891,1,3,4,4,1,3,152
C. Hérelle,25,76,80,8.5,26,1810,1,1,3,2,2,2,156
E. Mangala,27,76,78,7.5,84,1745,0,2,4,2,3,2,154
O. Selnæs,23,76,80,8.5,24,1954,0,1,3,3,1,3,156
Víctor Vázquez,31,76,76,6.5,9,1866,1,1,2,3,1,3,152
Diego Mariño,28,76,77,6,9,1243,1,1,3,1,2,1,153
Carles Planas,27,76,77,7,26,1941,0,1,3,3,2,2,153
G. Fernández,26,76,77,9,21,2005,1,1,3,3,4,3,153
Soldado,33,76,76,4.8,61,1911,1,3,4,3,2,4,152
A. Ekdal,28,76,76,7.5,34,1957,1,2,3,3,3,3,152
Gedson Fernandes,19,76,86,12,6,2078,1,1,3,3,4,3,162
M. Darmian,28,76,76,6,88,1949,1,2,5,3,2,2,152
N. Chalobah,23,76,81,8.5,38,1934,1,1,3,3,2,3,157
R. Pizarro,24,76,82,10.5,37,2037,1,2,4,3,3,3,158
André Simões,28,76,76,7.5,1,2059,1,1,3,3,4,3,152
S. Tshabalala,33,76,76,4.7,16,1926,0,2,2,4,3,3,152
L. Rossettini,33,76,76,3.1,16,1624,1,2,3,2,3,2,152
F. Viviani,26,76,79,9.5,15,2049,1,1,4,3,2,3,155
M. de Roon,27,76,76,8,26,2035,1,2,3,3,2,3,152
Rubén Duarte,22,76,81,8.5,18,1776,0,1,2,2,2,2,157
Y. Ōsako,28,76,76,8,30,1907,1,1,4,3,2,4,152
Gil,31,76,76,5,18,1679,1,2,3,2,2,2,152
A. Ruiz,24,76,79,10,13,1935,0,2,2,4,1,4,155
P. van Aanholt,27,76,76,6.5,44,2066,0,1,4,3,2,2,152
S. Meïté,24,76,79,8,31,1964,1,1,3,3,2,3,155
K. Dolberg,20,76,85,12,15,1816,1,2,4,3,1,4,161
Juli Freitinho,30,76,76,5.5,13,1682,1,1,3,2,3,2,152
L. Vietto,24,76,80,10,42,1948,1,1,3,4,3,4,156
A. Izzo,26,76,81,8.5,36,1603,1,1,4,2,2,2,157
A. Paloschi,28,76,76,8,17,1818,1,2,4,3,2,4,152
G. Gönül,33,76,76,3,40,2049,1,2,3,3,3,2,152
Llorente,33,76,76,4.8,76,1599,1,3,3,3,2,4,152
J. Morel,34,76,76,2.3,48,1880,0,2,2,2,3,2,152
G. Kakuta,27,76,76,8,20,1922,0,2,3,4,2,3,152
João Pedro,26,76,79,9.5,30,1927,1,1,4,4,2,4,155
S. García,29,76,76,6,23,1868,0,2,3,2,3,2,152
Eltildo Correia,26,76,76,6.5,30,1785,1,1,3,2,2,2,152
Kenedy,22,76,84,11.5,71,1966,0,1,2,4,4,3,160
M. Moralez,31,76,76,7,9,1921,1,2,4,4,4,3,152
N. Vukčević,26,76,79,8,21,1932,0,1,3,3,3,3,155
F. Borini,27,76,76,8,76,1958,1,2,3,4,3,4,152
I. Sarr,20,76,87,13.5,22,1772,1,1,1,4,3,3,163
C. Clark,28,76,77,7,42,1749,0,2,2,2,2,2,153
Mata,29,76,76,7.5,25,1768,1,1,3,3,3,4,152
M. Albrighton,28,76,76,8,60,2005,1,2,3,3,4,3,152
A. Gray,27,76,77,9,53,1851,1,1,3,3,3,4,153
F. Guarín,32,76,76,6,16,2102,1,3,4,4,3,3,152
Yoel,29,76,76,5,18,1200,1,2,3,1,2,1,152
J. Cuadrado,33,76,76,3.9,3,1280,1,1,3,1,2,1,152
S. Widmer,25,76,78,7.5,23,2035,1,2,3,3,2,2,154
B. Dzsudzsák,31,76,76,0,0,1926,0,3,4,4,2,4,152
P. Mantalos,26,76,77,9,1,1920,1,1,4,3,3,3,153
S. Proto,35,76,76,1.8,20,1277,1,2,2,1,2,1,152
A. Mehmedi,27,76,76,8,40,1958,1,2,3,3,2,3,152
Pablo,27,76,77,7.5,34,1764,1,1,2,2,2,2,153
I. Slimani,30,76,76,7.5,62,1892,1,3,3,2,4,4,152
C. Erkin,29,76,76,6,41,2182,0,2,2,4,3,2,152
D. Chygrynskyi,31,76,76,5,1,1612,1,2,3,2,2,2,152
Beto,36,76,76,1,12,1202,1,2,3,1,2,1,152
A. Samaris,29,76,76,6,12,1991,1,2,3,2,3,3,152
